MD_ID,ID_stats,number_arm,Trial_Reg_No,Prospective_Registr,Full_text_link,name_study,First_author,Journal_abbrv,Year,Type_publication,Pub_date_online,Blinding,Start_date,Center,Funding,Fund_Source,Research_question,Countries,Treatment_control,stats_name,n_Randomized,n_Analyzed_,All_cause_mortality_events_D28,mortality_d28_N,mort_D28_TP,Definition_of_clinical_improvement,Clinical_improvement_D28_n,clinic_imp_d28_N,clin_imp_D28_TP,SCORE_7_and_above_D28,score7_d28_N,score7_D28_TP,Total_AE,Serious_AE,safety_N,Safety_timepoint,ROB_6_for_website,Blind,Fund,Sample_size,HIC_LIC,Comment_HIC_LIC,CAF_mort,CAF_CI,CAF_WHO7,CAF_AE,CAF_SAE,Same_analysis,What_changed,new_outcome,del_outcome,unchanged,change_events,Status
1_preprint,1,2,ChiCTR2000030254,No,https://doi.org/10.1101/2020.03.17.20037432 ,*,Chen C,medRxiv,2020,preprint,4/15/2020,Unblinded,2/20/2020,Multicenter,Public/non profit,National Key Research and Development Program of China (2020YFC0844400) ,Moderate to critical,China,Treatment,Favipiravir,120,116,0,*,*,*,*,*,*,*,*,*,37,0,*,*,Some concerns,unblinded,Other,240,LIC_MIC,,,,,,,,,,,,,consistent
1_preprint,1,2,ChiCTR2000030254,No,https://doi.org/10.1101/2020.03.17.20037432 ,*,Chen C,medRxiv,2020,preprint,4/15/2020,Unblinded,2/20/2020,Multicenter,Public/non profit,National Key Research and Development Program of China (2020YFC0844400) ,Moderate to critical,China,Control,Umifenovir,120,120,0,*,*,*,*,*,*,*,*,*,28,0,*,*,Some concerns,unblinded,Other,240,LIC_MIC,,,,,,,,,,,,,consistent
1_pub,1,1,ChiCTR2000030254,No,https://www.frontiersin.org/articles/10.3389/fphar.2021.683296/full#h12 https://doi.org/10.1101/2020.03.17.20037432 ,*,Chen C,Front Pharmacol,2021,published paper,9/2/2021,Unblinded,2/20/2020,Multicenter,Public/non profit,National Key Research and Development Program of China,Moderate to critical,China,Treatment,Favipiravir,120,116,0,*,*,*,*,*,*,*,*,*,37,0,*,17,Some concerns,unblinded,Other,240,LIC_MIC,,,,,,,,,,,,,consistent
1_pub,1,2,ChiCTR2000030254,No,https://www.frontiersin.org/articles/10.3389/fphar.2021.683296/full#h12 https://doi.org/10.1101/2020.03.17.20037432 ,*,Chen C,Front Pharmacol,2021,published paper,9/2/2021,Unblinded,2/20/2020,Multicenter,Public/non profit,National Key Research and Development Program of China,Moderate to critical,China,Control,Umifenovir,120,120,0,*,*,*,*,*,*,*,*,*,28,0,*,17,Some concerns,unblinded,Other,240,LIC_MIC,,,,,,,,,,,,,consistent
3_preprint,3,3,NCT04252885,Yes,https://www.medrxiv.org/content/10.1101/2020.03.19.20038984v2,*,Yueping L,medRxiv,2020,preprint,3/23/2020,Single blinded,2/1/2020,Single,Public/non profit ,"Project 2018ZX10302103-002, 2017ZX10202102-003-004 and Infectious Disease Specialty of Guangzhou High-level Clinical Key Specialty (2019-2021) ",Mild/moderate,China,Treatment,Lopinavir-Ritonavir,21,21,*,*,*,*,*,*,*,*,*,*,5,1,*,*,Some concerns,blinded,Other,44,LIC_MIC,,,,,,,N,sample size,"mort, WHO7",N,SAE,AE,exclude_diffanalysis
3_preprint,3,3,NCT04252885,Yes,https://www.medrxiv.org/content/10.1101/2020.03.19.20038984v2,*,Yueping L,medRxiv,2020,preprint,3/23/2020,Single blinded,2/1/2020,Single,Public/non profit ,"Project 2018ZX10302103-002, 2017ZX10202102-003-004 and Infectious Disease Specialty of Guangzhou High-level Clinical Key Specialty (2019-2021) ",Mild/moderate,China,Treatment,Umifenovir,16,16,*,*,*,*,*,*,*,*,*,*,0,0,*,*,Some concerns,blinded,Other,44,LIC_MIC,,,,,,,N,sample size,"mort, WHO7",N,SAE,AE,exclude_diffanalysis
3_preprint,3,3,NCT04252885,Yes,https://www.medrxiv.org/content/10.1101/2020.03.19.20038984v2,*,Yueping L,medRxiv,2020,preprint,3/23/2020,Single blinded,2/1/2020,Single,Public/non profit ,"Project 2018ZX10302103-002, 2017ZX10202102-003-004 and Infectious Disease Specialty of Guangzhou High-level Clinical Key Specialty (2019-2021) ",Mild/moderate,China,Control,Standard care,7,7,*,*,*,*,*,*,*,*,*,*,0,0,*,*,Some concerns,blinded,Other,44,LIC_MIC,,,,,,,N,sample size,"mort, WHO7",N,SAE,AE,exclude_diffanalysis
3_pub,3,3,NCT04252885,Yes,https://www.cell.com/pb-assets/products/coronavirus/MEDJ1.pdf,*,Yueping L,CellPress,2020,published paper,4/15/2020,Participants,2/1/2020,Single,Public/non profit,"Project 2018ZX10302103-002, 2017ZX10202102-003-004 and Infectious Disease Specialty of Guangzhou High-level Clinical Key Specialty (2019-2021) ",Mild/Moderate,China,Treatment,Lopinavir-Ritonavir,34,34,0,*,21,*,*,*,*,2,*,7,12,1,*,21,Some concerns,blinded,Other,86,LIC_MIC,,,,,,,N,sample size,"mort, WHO7",N,SAE,AE,exclude_diffanalysis
3_pub,3,3,NCT04252885,Yes,https://www.cell.com/pb-assets/products/coronavirus/MEDJ1.pdf,*,Yueping L,CellPress,2020,published paper,4/15/2020,Participants,2/1/2020,Single,Public/non profit,"Project 2018ZX10302103-002, 2017ZX10202102-003-004 and Infectious Disease Specialty of Guangzhou High-level Clinical Key Specialty (2019-2021) ",Mild/Moderate,China,Treatment,Umifenovir,35,35,0,*,21,*,*,*,*,0,*,7,5,0,*,21,Some concerns,blinded,Other,86,LIC_MIC,,,,,,,N,sample size,"mort, WHO7",N,SAE,AE,exclude_diffanalysis
3_pub,3,3,NCT04252885,Yes,https://www.cell.com/pb-assets/products/coronavirus/MEDJ1.pdf,*,Yueping L,CellPress,2020,published paper,4/15/2020,Participants,2/1/2020,Single,Public/non profit,"Project 2018ZX10302103-002, 2017ZX10202102-003-004 and Infectious Disease Specialty of Guangzhou High-level Clinical Key Specialty (2019-2021) ",Mild/Moderate,China,Control,Standard care,17,17,0,*,21,*,*,*,*,0,*,7,0,0,*,21,Some concerns,blinded,Other,86,LIC_MIC,,,,,,,N,sample size,"mort, WHO7",N,SAE,AE,exclude_diffanalysis
